Decision Name,Current Owner,Decision Frequency,Decision ID,Decision Question,Decision Scope,Decision Type,Failure Mode Shape,How Painful it is if this is wrong,Notes,Observed Behavior / Evidence,Source Case(s),Where This Happens
PROCEED_WITHOUT_TARGET_PRICE_ANCHOR,Growth Lead,Medium = 1 out 5 SR,D5,"If the client provides no target price, do we proceed to first quotation anyway or require a price anchor first?",Global,Context inference,Silent degradation,"Some client might have no idea on the product market price, so they need us to send the first quote and get insights from there.",,"""they didn't give any price… we sent the first quotation… then they flagged they want a cheaper one.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Initial quotation, Requirement clarification"
SELECT_NEW_SUPPLIER_AS_INITIAL_BEST_FIT,Growth Lead,Medium = 1 out 5 SR,D8,"From multiple suppliers contacted, do we select a new supplier as the best fit for this case's constraints (vs reusing an existing supplier)?",Case-specific,Partner qualification,Costly rework,"Reusing existing supplier is the priority, unless we have some after sales problems happened last time. ",,"""reach out to different supplier first… this one is the best fit… supplier is the new one.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Supplier evaluation, Suppliers search"
NEGOTIATE_WITH_CURRENT_SUPPLIER_BEFORE_RESEARCHING_NEW,Growth Lead,High = Every SR,D7,"When price pushback occurs, do we first negotiate with the current supplier or immediately search for new suppliers?",Global,Execution optimization,Latency increase,Negotiate with the current supplier will save time to reaching out a new supplier and explaining again all our requirements. Looking for a new supplier will be Plan B if the current supplier unable to fulfill our requirements,,"""We negotiate to the current one first.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Initial quotation, Supplier evaluation"
INFER_PRICE_SENSITIVITY_FROM_REACTION_TO_FIRST_QUOTE,Growth Lead,Medium = 1 out 5 SR,D6,"Do we classify the client as price-sensitive based on pushback to the first quotation, and shift strategy accordingly?",Segment-specific,Context inference,Silent degradation,"Some client might have no idea on the product market price, so they need us to send the first quote and get insights from there.",,"""we did send the first quotation and then… they want a cheaper one.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Initial quotation
LIMIT_NUMBER_OF_SUPPLIERS_PRESENTED_IN_QUOTATION,Growth Lead,High = Every SR,D12,"Do we present one supplier (or one to two max) instead of many suppliers because the product is ""the same""?",Global,Gating / readiness,Silent degradation,"It is not necessary to include multiple suppliers if the product is 100% same, we just need to sort out the best offer and show it to client. Client will also confuse if we’re showing same products in different pricing.",Dimension differences can still exist even if volume is the same.,"""only include like one or two supplier at maximum… because the product will be the same.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Initial quotation
REQUIRE_LAUNCH_TIMELINE_AS_CONSTRAINT_INPUT,Growth Lead,Medium = 1 out 5 SR,D9,Do we require a launch timeline constraint and plan the execution against it?,Segment-specific,Gating / readiness,Latency increase,We need to understand client sourcing purpose first to avoid same issue happened again (unless unpredictable situation),,"""they did mention a launch timeline… supposed to be okay… at the end… delay.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Requirement clarification, SR intake"
CHOOSE_EARLY_SUPPLIER_PURSUIT_SIGNAL_SET,Growth Lead,High = Every SR,D11,What early signals determine which supplier to pursue for the initial quotation?,Global,Search shaping,Silent degradation,This is the basic requirements when selecting a supplier.,Early pursuit signals explicitly include responsiveness and price in this case.,"""picked the most responsive one and also the cheapest one.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Supplier evaluation
REQUEST_SUPPLIER_QUOTE_BY_VARIANT_SET,Growth Lead,High = Every SR,D10,"Which product variants (e.g., sizes/volumes) do we include when requesting supplier quotations?",Case-specific,Search shaping,Latency increase,"If the product category is same, I will send over all of our request and ask if they can quote for us. This way can also save our time to chat too many suppliers at once.",This defines the search/quote space (which SKUs to price).,"Sent product link, asked if supplier has 8/12/16oz variants, then provided quantity for quote.",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Initial quotation
LET_CLIENT_CHOOSE_DIMENSION_VARIANTS_DESPITE_SAME_VOLUME,Growth Lead,High = Every SR,D13,"When volume is the same but dimensions differ across suppliers/variants, do we let the client choose based on dimension differences?",Case-specific,Gating / readiness,Costly rework,I will give client some options for them to choose instead of making decision on behalf of them,,"""8oz paper cup… different dimensions even though volume is the same… we provide it and let the client choose.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Initial quotation, Requirement clarification"
REQUOTATION_TRIGGER_POLICY_FOR_PRICE_QUANTITY_NEGOTIATION,Growth Lead,High = Every SR,D15,"When unit price is too high, do we iterate quotations by changing quantity to reach an acceptable price/quantity balance?",Global,Execution optimization,Latency increase,"We can encourage client to give their target price first at the first stage, to avoid the requotation after initial quotation.",,"""unit price too expensive… offer higher quantity to get lower price… keep changing the quantity.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Requotation
REQUIRE_QUALITY_VALIDATION_WHEN_TRADING_DOWN_PRICE,Growth Lead,Low = 1 out 10 SR,D16,"When driving price down through cheaper variants, do we require explicit quality validation before committing to bulk?",Global,Risk guardrail,Costly rework,,"In this instance, lack of validation preceded the cup-breaking incident.","Lord asks if they checked quality while going cheaper; Syuen: ""we didn't check and… not reminded.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Supplier evaluation
DEFAULT_TO_SINGLE_FORWARDER_FOR_NEW_COUNTRY_SHIPPING,Growth Lead,Medium = 1 out 5 SR,D14,"For a new destination/country, do we default to a single known forwarder rather than exploring multiple forwarders?",Segment-specific,Execution optimization,Silent degradation,"PoonPoon will explore more new forwarders if the current one quoted high price, also we will need to know if the forwarder has experience to that country.",,"""only rely on Python D… didn't explore that much of forwarders.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Forwarder/Logistics
SKIP_PHYSICAL_SAMPLES_AND_USE_SAMPLE_PHOTOS_ONLY,Growth Lead,Low = 1 out 10 SR,D17,"Do we proceed to bulk without physical samples, relying only on sample pictures for approval?",Case-specific,Gating / readiness,Silent degradation,"We send an actual sample picture for client confirmation first before we send out, we will still send the physical samples after sending the image.",,"""I don't think we did samples… we only get the samples pictures… we did send to the customer… by pictures we think it's all good.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Sampling
DECIDE_WHETHER_NEW_DESTINATION_REQUIRES_ADDITIONAL_LOGISTICS_DUE_DILIGENCE,Growth Lead,Low = 1 out 10 SR,D18,"When shipping to a new country for the first time, do we perform additional due diligence/research or proceed as standard?",Segment-specific,Risk guardrail,Binary catastrophic,"Next time, we can work with forwarder who has more experiences shipping to that country. Also, we can understand more shipping limitations from forwarder side","Later shipment blocking indicates hidden risk even for ""non-sensitive goods.""","""first time… did you do extra research?… We didn't… not sensitive goods… didn't think troubles.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Forwarder/Logistics
RELY_ON_FORWARDER_TO_RESOLVE_LOCAL_CLEARANCE_BLOCKS,Growth Lead,High = Every SR,D20,"When a shipment is blocked in a destination where we lack local capability, do we rely solely on the forwarder to resolve it?",Segment-specific,Execution optimization,Latency increase,"Forwarder is responsible to solve any issues regarding shipment for us, as we already pay for the freight cost and this is part of their job.",,"""first time to Mexico… we can't do anything… rushing the forwarder to solve this for us.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Forwarder/Logistics
HOLD_SUPPLIER_ACCOUNTABLE_OR_SWITCH_AFTER_INCIDENT,Growth Lead,Low = 1 out 10 SR,D22,"After a quality incident, do we continue with the same supplier under remediation terms or switch to a new supplier?",Case-specific,Partner qualification,Costly rework,"It depends on the supplier’s attitude. It will be hard for client to repurchase from us again if the supplier did not refund anything for the quality incident. ",,Supplier offered replacement in next order; team explored other suppliers and switched for the new quotation.,BTDT / Hui Syuen / Lord Working Session (2026-01-23),Supplier evaluation
CHOOSE_REMEDIATION_STANCE_FOR_POST_DELIVERY_PRODUCT_FAILURE,Growth Lead,Medium = 1 out 5 SR,D21,"When the client reports product failure after delivery, do we offer monetary remediation (e.g., partial refund) and/or replacement paths?",Case-specific,Risk guardrail,Trust erosion,"We need to do investigation on the products, also client needs to provide some videos as proof. ","Evidence confidence is lower (recalled, not asserted as certain).","Client sent a video of cups breaking; Syuen recalls they did a partial refund ""if not mistaken.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),After-sales service
REQUIRE_SAMPLES_BEFORE_NEXT_ORDER_AFTER_QUALITY_FAILURE,Growth Lead,High = Every SR,D23,"After a bulk quality failure, do we require samples (not just photos) before proceeding with the next supplier/order?",Segment-specific,Risk guardrail,Costly rework,"We always ship samples to client side if their timeline is still sufficient, only edge cases for client to confirm their samples via images.","Unclear whether a second bulk order happened; the decision still occurs at the ""next attempt"" stage.","After switching suppliers, Syuen confirms they did a sample check before proceeding further.",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Sampling, Supplier evaluation"
DETECT_LOGISTICS_ANOMALY_VIA_TRACKING_AND_ESCALATE,Growth Lead,High = Every SR,D19,"Do we monitor tracking status to detect anomalies (e.g., stalled shipment) and escalate to the forwarder for investigation?",Segment-specific,Gating / readiness,Latency increase,"As we need to keep transparent procurement process to client, so we always need to update client on the latest shipment status. Once we find anything weird, we will need to escalate to our forwarder and update client.",,"They checked tracking, saw shipment stopped for days, then contacted forwarder who checked locally and reported the issue.",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Forwarder/Logistics
PROVIDE_SUPPLIER_TEMPLATE_TO_REDUCE_DESIGN_ITERATIONS,Growth Lead,Medium = 1 out 5 SR,D27,Do we require/encourage using supplier-provided templates to reduce design back-and-forth during customization?,Segment-specific,Execution optimization,Latency increase,"This only works when client side has their own design team. If not, the back and forth conversation is still unavoidable.",,Syuen says the scratch approach was inefficient; suggested supplier provides blank mockup template so client can copy/paste designs and adjust.,BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Bulk ordering, Initial quotation, Sampling"
REQUIRE_PRINT_METHOD_COMPATIBILITY_DISCLOSURE,Growth Lead,Medium = 1 out 5 SR,D29,"When printing methods differ between samples and bulk, do we require disclosure/expectation-setting with the client before proceeding?",Global,Risk guardrail,Trust erosion,"This is to set client’s expectation lower for their bulk order, we also need to give them a heads up first so that some of the after sales issues can be avoid.",Mentioned as a learned practice from another case; kept as decision awareness (not asserted as Pickup Coffee-specific).,Syuen describes another case where supplier warned samples wouldn't match bulk due to different printing methods; they asked supplier to capture differences and shared with the client.,BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Bulk ordering, Sampling"
SWITCH_SUPPLIER_IF_TRUSTWORTHINESS_IS_INSUFFICIENT,Growth Lead,High = Every SR,D25,"Do we switch suppliers when we judge the current supplier as not responsible enough, even if they offer better pricing on some variants?",Case-specific,Partner qualification,Trust erosion,Any irresponsible supplier should be swap and look for an alternative. We want to avoid delivering bad quality products to client.,,"They avoided the previous supplier because thick version was not competitive and ""we don't think that they are responsible enough.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Supplier evaluation
ACCEPT_HIGHER_PRICE_FOR_HIGHER_QUALITY_AFTER_INCIDENT,Growth Lead,Medium = 1 out 5 SR,D24,Do we accept a higher unit price in exchange for improved quality when recovering from a quality incident?,Segment-specific,Execution optimization,Trust erosion,"We will try to negotiate to get the same price, with a higher quantity. A little bit higher price is acceptable as long as client is satisfied with the product quality.",,"New supplier was ""a little bit more expensive,"" and the client was ""okay with the price.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Bulk ordering, Initial quotation, Requotation"
HANDLE_COLOR_ACCURACY_MISMATCH_VIA_LOW_COST_PROOFING,Growth Lead,Low = 1 out 10 SR,D26,"When printed output color differs from the intended color, do we use a lower-cost proofing method (vs producing new physical samples) to converge?",Case-specific,Execution optimization,Latency increase,This is a good way to save sampling fee. Normally client always satisfied with the color if they’re launching a new product. They will only be picky if they already selling the product and want to source to replace their current supply chain.,,"To avoid high sampling fees, they asked the supplier to print color-code paper for the client to pick.",BTDT / Hui Syuen / Lord Working Session (2026-01-23),Sampling
CLASSIFY_CUSTOMIZATION_COMPLEXITY_BY_PRINT_COVERAGE,Growth Lead,Medium = 1 out 5 SR,D28,"Do we classify customization difficulty based on print coverage/complexity (e.g., full background color vs logo-only), and route effort accordingly?",Global,Context inference,Latency increase,,,"Paper cup with full green background + white logo was troublesome; logo-only items were ""simple.""",BTDT / Hui Syuen / Lord Working Session (2026-01-23),"Requirement clarification, SR intake"
PHYSICAL_SAMPLE_REQUIRED_CONDITION,Growth Lead,High = Every SR,D2a,"Do we require physical samples (not just photos) before proceeding to bulk, especially after an incident/recovery context?",Segment-specific,Risk guardrail,Costly rework,"A physical sample is always required for client to check the quality. Only edge cases for us to skip samples, especially when the timeline is extremely tight.",,"Order 2: ""we did a samples… they are satisfied with it.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Sampling
ORDER_SCOPE_FREEZE_FOR_REORDER,Growth Lead,Medium = 1 out 5 SR,D1,"For a recovery/reorder, do we scope the order to core SKUs only vs expanding the SKU set?",Segment-specific,Gating / readiness,Costly rework,This will based on client’s requirements.,,"Order 2 was scoped to only paper cup + PP plastic cup: ""only… paper cup and the PP plastic cup… only these two products.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Requirement clarification
PHOTO_ONLY_APPROVAL_ALLOWED,Growth Lead,Low = 1 out 10 SR,D2b,"When timeline is tight, do we allow photo-only confirmation to approve and start bulk production (skipping physical sample shipment)?",Segment-specific,Gating / readiness,Silent degradation,"We can propose this sampling method, but we need to explain the risk and need client’s approval before proceed.",,"Order 1: ""skip sample… sent pictures… after they confirm… start the B production.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Sampling
FUNCTIONAL_PROOF_FOR_QR_OR_FEATURE,Growth Lead,Low = 1 out 10 SR,D2c,"For functional elements (e.g., QR codes), do we require a functional proof check before approving production?",Segment-specific,Risk guardrail,Costly rework,"As we need to ensure everything is working well, that’s why we need to check every functional elements before proceed to next step. The after sales issues will be more troublesome if the functional element is not working.",,"""supplier print… on the A4 paper… we try to scan the QR code and it works.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Sampling
BULK_READINESS_EVIDENCE_STANDARD,Growth Lead,Medium = 1 out 5 SR,D2,"Before bulk production, what evidence/approval standard is required to proceed (physical sample, photo-only, printed proof, etc.)?",Global,Risk guardrail,Costly rework,This will depending on the client’s requirements.,,Evidence modalities used across the case: physical samples for order 2; photo confirmation for order 1; printed proofs for QR/color.,BTDT / Hui Syuen / Lord Working Session (2026-01-26),Sampling
PAYMENT_METHOD_DEFAULT_AND_OVERRIDE,Growth Lead,High = Every SR,D4b,"Do we default to payment link as primary method and treat bank transfer as an edge case, while still asking client preference?",Global,Execution optimization,Latency increase,"We will ask the preferred payment method that the client want, but payment link is the easiest one as client don’t have to key in too much info.",,"""default is… send them a payment link… not many clients will do online transfer… we will ask… but by default…""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Bulk ordering
QUOTE_BASIS_FOR_REORDER,Growth Lead,Medium = 1 out 5 SR,D3,"For a reorder/recovery order, do we reuse prior order requirements and pricing anchors vs collecting a fresh requirement/pricing baseline?",Segment-specific,Context inference,Silent degradation,"Yes, we will always take previous order as reference. Unless the item category is different, then we might need to clarify with client on the specs, price and etc.",,"""it's from the past order… list of the products they want."" + ""target pricing… from the previous order.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),"Initial quotation, Requirement clarification, SR intake"
PAYMENT_GATING_AND_METHOD_DEFAULTS,Growth Lead,Medium = 1 out 5 SR,D4,"What are the payment gates and defaults (deposit to start production, payment method default/override, failure recovery, balance gating for release)?",Global,Gating / readiness,Latency increase,"By default is 3/7 payment terms - 30% downpayment to start the production first, and the balance before we dispatch the goods to client’s destination. Payment method depending on client’s preference.",,Deposit triggers production; default payment link; edge-case bank transfer rejection handled; balance payment reminded before release.,BTDT / Hui Syuen / Lord Working Session (2026-01-26),Bulk ordering
COLOR_PROOF_ITERATION_POLICY,Growth Lead,Medium = 1 out 5 SR,D2d,"When color output does not meet requirements, do we run additional proof/print cycles to adjust color codes before approval?",Segment-specific,Gating / readiness,Costly rework,"If previous samples do not meet requirements, we will need to do another round of sampling, so make sure the bulk outcome is satisfied and meet client’s expectation.",,"""they change a bit on the color code… supplier did print out… previous one… doesn't meet their requirements.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Sampling
PRODUCTION_START_TRIGGER,Growth Lead,High = Every SR,D4a,"Do we begin production only after receiving a deposit (e.g., 30% down payment)?",Global,Gating / readiness,Latency increase,"At least a 30% downpayment is needed to start a production, unless we have special deal with the client.",,"""pay the down payment 30% and the production started.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Bulk ordering
BALANCE_PAYMENT_GATING_FOR_RELEASE,Growth Lead,Medium = 1 out 5 SR,D4d,Do we gate final release/shipping on collecting balance payment (and proactively prompt for it)?,Global,Gating / readiness,Latency increase,"It depends on the payment terms for different client, and either the client is new/existing. ",,"""remind them for the balance payment.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Bulk ordering
SHIPPING_MODE_DRIVER,Growth Lead,High = Every SR,D5a,Is shipping mode (sea vs air) primarily client-request-driven vs Sourcy-recommendation-driven?,Global,Execution optimization,Latency increase,"By default, air freight used for samples and sea freight used for bulk order. This is the best way, unless client has specific request.",,"""how did we decide… sea vs air…? — the client request one.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
PAYMENT_FAILURE_RECOVERY_PATH,PM,Low = 1 out 10 SR,D4c,"When a client bank transfer is rejected (e.g., wrong SWIFT), do we cancel/wait for refund and reissue corrected payment instructions?",Case-specific,Execution optimization,Latency increase,"This need further investigation, we might need to call the bank and understand the issue first and request client to make another transaction.",,"""transfer… rejected… funds will being refunded… provided new… swift code.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Bulk ordering
LOGISTICS_MODE_AND_FORWARDER_STRATEGY,Growth Lead,Low = 1 out 10 SR,D5,"What is our logistics strategy across mode selection (sea/air, FCL/LCL), forwarder selection/switching, and required shipment handoff controls?",Global,Execution optimization,Binary catastrophic,"For samples → Airfreight
For bulk order → sea freight
For bulk (tight timeline) → Spilt into batches, some by air and balance by sea
We can give ETA for different shipping method, client can make the decision by their own.",,Sea vs air decisions; FCL recommendation; forwarder switched after incident; address confirmation; ETA/lock/tracking used as coordination artifacts.,BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
SEA_DEFAULT_FOR_HIGH_COST_ROUTES,Growth Lead,Low = 1 out 10 SR,D5b,"For high-cost routes (e.g., Mexico), do we default to sea freight and switch to air only when timeline is tight?",Segment-specific,Execution optimization,Latency increase,"Sea freight will always be the best option first, air freight is only able when we spilt the shipment in batches as the cost is extremely high.",,"""cost is very high to Mexico… unless timeline really tight… if not then… sea.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
SAMPLE_SHIP_MODE_CONSTRAINT,Growth Lead,High = Every SR,D5c,Do we ship samples via air by default due to sea freight minimum CBM constraints?,Global,Execution optimization,Latency increase,"Yes, we always ship samples by air only. This is because sea freight has the minimum shipping volume, and air freight has the shortest shipping durations.",,"""samples… only air freight… sea… minimum CBM.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
REQUIRE_ADDRESS_CONFIRMATION_BEFORE_DISPATCH,Growth Lead,High = Every SR,D5g,Do we require explicit shipping address confirmation before dispatching shipment?,Global,Risk guardrail,Costly rework,"Shipping address was given at initial stage to quote shipping cost, but we will do another round of confirmation when the goods arrive at destination country to make sure the address is right.",,"""shipping address… need them to confirm.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
SPLIT_SHIPMENT_STRATEGY_FOR_LAUNCH,Growth Lead,Medium = 1 out 5 SR,D5d,"When timeline is tight, do we split shipments into batches (air for launch + sea LCL/FCL for remainder)?",Segment-specific,Execution optimization,Costly rework,"This require discussion with client, to understand what are the most important items and what is the quantity. We can spilt the shipment into batches, and send the most important part by air freight first.",,"""one air freight… arrive before launch… one sea LCL and one sea FCL… three batches.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
FORWARDER_SELECTION_AND_SWITCH_TRIGGER,PM,Low = 1 out 10 SR,D5f,Do we switch forwarders after an incident and/or choose a specialized forwarder despite limited prior usage when route-fit is strong?,Segment-specific,Partner qualification,Silent degradation,"It requires us to do some research on the forwarder who specialist in the specific country/shipping method. From the list of forwarders, we can pick the most affordable and experienced forwarder in case any shipping issues happened.",,"""different forwarder… called mion… Kim… based on the issue happened last time."" + ""don't work with them often… only like twice… specialized in sea.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
SHIPMENT_UPGRADE_COST_OWNER,Growth Lead,Low = 1 out 10 SR,D5e,Who bears the cost for expedited air shipment used to meet launch timelines (client vs Sourcy)?,Case-specific,Execution optimization,Trust erosion,"This we need discussion with client and the management, and find the best way to solve.",,"""did we cover for the air freight?… No, they cover it.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
LOGISTICS_HANDOFF_ARTIFACTS_POLICY,Growth Lead,High = Every SR,D5h,"Do we treat ETA updates and shipment handoff artifacts (tracking, lock/seal numbers, route-specific docs) as required coordination deliverables to the client?",Segment-specific,Risk guardrail,Trust erosion,"Tracking info is a must to send to client, this is to keep transparency sourcing process to client. After sending the tracking info, we still need to update the client whenever there’s any changes, as some of the tracking website is in Mandarin.",,"""this is the ETA that we update them…"" + ""send them the lock numbers… need it when… unload… timeline and tracking info.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
FCL_PLANNING_BUFFER_POLICY,PM,Medium = 1 out 5 SR,D6a,"When planning an FCL, do we cap planned CBM below nominal container capacity to account for real loading constraints?",Segment-specific,Risk guardrail,Costly rework,We need to buffer some extra spaces for FCL order to avoid extra cartons after fitting in the whole container.,,"""container… 68 CBM… maximum we calculate… only 64 to 66 CBM.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
FCL_OVERRUN_SHIP_METHOD,Growth Lead,Low = 1 out 10 SR,D6b,"If cartons cannot fit into the planned FCL, do we ship the overflow separately as LCL instead of re-planning/loading again?",Case-specific,Execution optimization,Costly rework,"Extra cartons can only ship by LCL, and we need to explain the situation to client on who to bear the extra freight cost.",,"""unable to fit… extra six cartons… ship… by LCL… two separate shipping both with sea.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
FCL_PLANNING_AND_OVERRUN_HANDLING,PM,Low = 1 out 10 SR,D6,"For FCL shipments, how do we plan with buffer and handle container overrun (overflow cartons) including ship method and cost allocation?",Segment-specific,Risk guardrail,Costly rework,"Extra cartons can only ship by LCL, and we need to explain the situation to client on who to bear the extra freight cost.",,Container misfit led to overflow cartons shipped via LCL and cost absorbed internally.,BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
OVERRUN_COST_ALLOCATION,Growth Lead,Low = 1 out 10 SR,D6c,"When internal planning error causes overflow shipments, do we absorb the cost internally rather than passing it to the client/forwarder?",Case-specific,Execution optimization,Trust erosion,"Extra cartons can only ship by LCL, and we need to explain the situation to client on who to bear the extra freight cost.",,"""cost… absorbed by us last time.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
LATE_DOCUMENT_ESCALATION_PATH,PM,Low = 1 out 10 SR,D7d,"If tax/document requirements are raised after loading, do we attempt to solve via forwarder escalation vs pausing/rejecting?",Case-specific,Execution optimization,Latency increase,"This is very hard for us as everything has been confirmed, and we need to find an alternative way if client needs the document.",,"""very late… after loaded… insist… Kim hop on… align with forwarder… find a way to solve.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
DEFAULT_CLEARANCE_LANE,Growth Lead,High = Every SR,D7a,Do we assume the gray-area DDP approach is acceptable by default because it is cheapest?,Global,Context inference,Trust erosion,"DDP has stated in our quotation, so we always assume client is ok with DDP lane.",,"""we always assume… gray area is okay… DDP… cheapest.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
LANE_SWITCH_ON_CLIENT_REQUEST,Growth Lead,Low = 1 out 10 SR,D7c,"When a client requests legal/tax-compliant shipping (tax ID, documentation), do we switch from gray-area default to a legal flow?",Segment-specific,Gating / readiness,Latency increase,"We can switch to green lane if client mention this earlier, this is not hard if client side able to provide any required documents.",,"""they request for it… we did a legal… lots of documentations… forwarder and Kim.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
EARLY_TAX_REQUIREMENT_DISCOVERY,Growth Lead,Low = 1 out 10 SR,D7b,Do we explicitly ask early-stage whether the client needs legal/tax-compliant handling vs assuming gray-area is fine?,Segment-specific,Risk guardrail,Costly rework,"We don’t really ask this as DDP is stated in our document, so we always assume client is ok with DDP lane.",,"""very late… after loaded… only mentioned… should be asked earlier… we always assume gray area is okay.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),SR intake
TAX_COMPLIANCE_LANE_SELECTION,Growth Lead,Low = 1 out 10 SR,D7,"Do we use gray-area DDP vs legal/tax-compliant clearance, and how do we discover, switch, and handle late documentation demands (including document acceptability)?",Global,Execution optimization,Binary catastrophic,"We will only use DDP as default, unless client request to go with green lane. Green lane has more complex procedure and higher shipping cost, we need to give client a heads up on this first before confirming green lane as the shipping method.",,Default gray-area assumption conflicted with late legal/tax request; escalated to forwarder/Kim; provided documents (sometimes redacted).,BTDT / Hui Syuen / Lord Working Session (2026-01-26),"Forwarder/Logistics, SR intake"
ACCEPT_REDACTED_FORWARDER_DOCS,Growth Lead,Low = 1 out 10 SR,D7e,Do we accept forwarder-provided documents with redactions (to protect their agency) and still provide them to the client?,Case-specific,Risk guardrail,Trust erosion,"As this is the only way at that time, client can only accept this. We can encourage client to tell us their needs before placing order, so we can prepare documents based on their requirements.",,"""forwarder did cover some information… protect the agency.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
REFUND_DECISION_OWNERSHIP,PM,Low = 1 out 10 SR,D8b,Who owns the partial refund decision and process after a failure incident?,Case-specific,Risk guardrail,Trust erosion,This decision is owned by the management side.,,"""Carl… discussed with Karen… we refunded… around $9,000.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),After-sales service
INCIDENT_REMEDIATION_AND_QUALITY_GUARDRAILS,Growth Lead,Low = 1 out 10 SR,D8,"After a quality incident, how do we decide remediation (spec upgrade, refund governance, supplier switching) and prevent quality degradation during price optimization?",Global,Risk guardrail,Trust erosion,"The best way to solve this is to send samples and ask the client test first. We can send samples with different specs, and we send quotation based on the samples. Client can make their decision after checking the quality and price.",,Incident led to partial refund; spec upgraded to thicker cup; physical samples used for order 2; supplier responsibility questioned; supplier switching considered.,BTDT / Hui Syuen / Lord Working Session (2026-01-26),"After-sales service, Sampling, Supplier evaluation"
RECOVERY_SPEC_UPGRADE,Growth Lead,Low = 1 out 10 SR,D8a,"After a prior quality failure, do we upgrade product spec (e.g., thicker PP cup variant) to reduce durability risk?",Segment-specific,Risk guardrail,Trust erosion,We need to understand first the major issue and solve the problem. We can also get recommendations from supplier side.,,"""offer them… thicker version… solved the quality issues.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Requirement clarification
COUNTRY_OR_CLIENT_SPECIFIC_DOC_SET,PM,Low = 1 out 10 SR,D7f,"Do we treat certain routes/clients (e.g., Mexico or this client) as requiring a special set of documents/instructions beyond standard flows?",Segment-specific,Execution optimization,Latency increase,"Normally client will emphasize they need green lane for shipping, and we can still find a way. It was challenging if they only mention it after placing an order.",,"""only for a Mexico client… we know nothing about this… Kim handle it.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
